0	5.988037045619614140e-01	7.607294746760205895e-01	6855
2	4.443207486185376531e-01	4.609488524112188568e-01	5
4	4.069522654623781710e-01	4.178543539042753885e-01	462
6	3.801952500895542375e-01	3.883037286595947823e-01	344
8	3.593338154291541575e-01	3.657912978079199129e-01	274
10	3.422374879989653618e-01	3.476031801379765307e-01	228
12	3.277460487205070550e-01	3.323389519332607955e-01	4
14	3.151662904546226329e-01	3.191826089634983710e-01	171
16	3.040586403101357416e-01	3.076228598995611740e-01	152
18	2.941067510782785499e-01	2.973065106256532752e-01	136
20	2.850963171712797561e-01	2.880060247950524954e-01	124
22	2.781837903473760587e-01	2.808927864658202767e-01	115
24	2.717394179170866120e-01	2.742668986367591821e-01	8
26	2.657040228168209839e-01	2.680681872530977228e-01	1
28	2.600249757424015207e-01	2.622491939099786951e-01	5
30	2.546623610594024312e-01	2.567719926130975772e-01	10
32	2.505716555759870401e-01	2.525929923980272940e-01	86
34	2.466549296132989344e-01	2.485981820521288022e-01	83
36	2.419805589446326621e-01	2.438187571081578131e-01	79
38	2.383913904459659672e-01	2.401674006844346787e-01	76
40	2.349342413216828074e-01	2.366417675050169200e-01	73
42	2.315896860709826810e-01	2.332507151950492519e-01	71
44	2.283666421664534707e-01	2.299616118707517032e-01	69
46	2.252448454567864689e-01	2.267894098000182712e-01	67
48	2.222198782788209481e-01	2.237167652910216908e-01	64
50	2.192878134113241395e-01	2.207392276485758142e-01	62
52	2.164450980803631075e-01	2.178518602919002345e-01	61
54	2.136785808083479510e-01	2.150521157672930506e-01	59
56	2.109973480271020163e-01	2.123232839136224293e-01	57
58	2.083762149475549275e-01	2.096734403029610616e-01	56
60	2.058384921914535592e-01	2.071009455700523194e-01	54
62	2.033515890276847426e-01	2.045903110369077793e-01	53
64	2.009354896826991976e-01	2.021384863855552327e-01	51
66	1.985749204993928485e-01	1.997517991874203647e-01	51
68	1.962790055356867513e-01	1.974166180884650568e-01	49
70	1.940264750444991582e-01	1.951423622251189371e-01	48
72	1.918315879419229542e-01	1.929190832955979262e-01	47
74	1.896775459758693327e-01	1.907449541102432256e-01	46
76	1.875809790267527477e-01	1.886185779736289092e-01	45
78	1.850150928977299103e-01	1.860332094707128348e-01	44
80	1.830019486366009640e-01	1.840053259916174522e-01	43
82	1.810450961473374365e-01	1.820200980068954477e-01	42
84	1.791151211234125462e-01	1.800770313135493239e-01	41
86	1.772256854457995301e-01	1.781672437627616068e-01	40
88	1.753760817360096036e-01	1.762980225568371029e-01	40
90	1.735606836619053017e-01	1.744599195246369083e-01	39
92	1.717765727325674119e-01	1.726602112189905003e-01	39
94	1.700249537495023555e-01	1.708977067200833644e-01	38
96	1.682961764095000645e-01	1.691571231848154611e-01	37
98	1.666128290654549371e-01	1.674521477836959926e-01	36
100	1.649439269682327347e-01	1.657719045239982592e-01	36
